饰品名称,Buff当前价格,Buff当前在售数量
UMP-45（StatTrak™） | 白骨之堆 (崭新出厂),166.16,6
UMP-45 | 辐射警告 (略有磨损),70,18
UMP-45 | 辐射警告 (久经沙场),21.8,8
PP-野牛 | 现代猎手 (久经沙场),32.99,6
MAC-10 | 烧尽 (战痕累累),19.9,4
MAC-10（StatTrak™） | 霓虹骑士 (破损不堪),93.9,6
MP9（纪念品） | 黑暗时代 (久经沙场),57.49,27
P90（纪念品） | 设施系列·底片图 (崭新出厂),78.7,44
UMP-45 | 枯焦之色 (崭新出厂),15.91,4
UMP-45 | 枯焦之色 (崭新出厂),15.91,4
